C_SU_SETID,Q
C_SU_FORMS
C_SU_ID,%.20g,%.20g,%.20g,%.20g,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f
C_SU_NDIMS,tims,,,,,,,,0,190,850,1800
C_SU_NAMES
C_SU_ID,cdp,cdpt,xxigi,xxigc,gx,gy,sx,sy,vnmo,vnmo,vnmo,vnmo
Q,21,7461,21,1,500.00,0.00,339049.86,5540266.91,1021.00,2000.00,4777.00,5000.00
Q,41,7921,41,1,1000.00,0.00,339299.72,5539833.81,1041.00,3500.00,4077.00,5000.00
Q,81,71841,81,1,2000.00,0.00,339799.44,5538967.63,1081.00,3500.00,4000.00,5077.00
Q,101,72301,101,1,2500.00,0.00,340049.31,5538534.54,1101.00,5500.00,6000.00,8777.00
Q,1473,7473,21,13,500.00,600.00,339569.57,5540566.74,2473.00,3333.00,5777.00,6666.00
Q,1493,7933,41,13,1000.00,600.00,339819.43,5540133.65,2493.00,3577.00,4000.00,5000.00
Q,1533,71853,81,13,2000.00,600.00,340319.16,5539267.46,2777.00,3500.00,4000.00,5000.00
Q,1553,72313,101,13,2500.00,600.00,340569.02,5538834.37,2553.00,3577.00,4000.00,5000.00
Q,2683,7483,21,23,500.00,1100.00,340002.67,5540816.60,3683.00,3700.00,4777.00,5000.00
Q,2703,7943,41,23,1000.00,1100.00,340252.53,5540383.51,3703.00,3800.00,4770.00,5000.00
Q,2743,71863,81,23,2000.00,1100.00,340752.25,5539517.32,3743.00,3800.00,4070.00,5500.00
Q,2763,72323,101,23,2500.00,1100.00,341002.11,5539084.23,3763.00,5000.00,6777.00,8000.00
